sampleID	plant	syncom	treatment	generation	line	sample_type	condition
g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
g5_c2	col0	mixed	native	5	c2	competition	col0_mixed
g5_c3	col0	mixed	native	5	c3	competition	col0_mixed
g5_c4	col0	mixed	native	5	c4	competition	col0_mixed
g5_c5	col0	mixed	native	5	c5	competition	col0_mixed
g5_c6	gifu	mixed	native	5	c6	competition	gifu_mixed
g5_c7	gifu	mixed	native	5	c7	competition	gifu_mixed
g5_c8	gifu	mixed	native	5	c8	competition	gifu_mixed
g5_c9	gifu	mixed	native	5	c9	competition	gifu_mixed
g5_c10	gifu	mixed	native	5	c10	competition	gifu_mixed
g5_c11	col0	mixed	non-native	5	c11	competition	col0_mixed
g5_c12	col0	mixed	non-native	5	c12	competition	col0_mixed
g5_c13	col0	mixed	non-native	5	c13	competition	col0_mixed
g5_c14	col0	mixed	non-native	5	c14	competition	col0_mixed
g5_c15	col0	mixed	non-native	5	c15	competition	col0_mixed
g5_c16	gifu	mixed	non-native	5	c16	competition	gifu_mixed
g5_c17	gifu	mixed	non-native	5	c17	competition	gifu_mixed
g5_c18	gifu	mixed	non-native	5	c18	competition	gifu_mixed
g5_c19	gifu	mixed	non-native	5	c19	competition	gifu_mixed
g5_c20	gifu	mixed	non-native	5	c20	competition	gifu_mixed
g0_at	none	at	input	0	at	generation	none_at
g0_at1	none	at	input	0	at1	generation	none_at
g0_at2	none	at	input	0	at2	generation	none_at
g0_at3	none	at	input	0	at3	generation	none_at
g0_at4	none	at	input	0	at4	generation	none_at
g0_lj	none	lj	input	0	lj	generation	none_lj
g0_lj1	none	lj	input	0	lj1	generation	none_lj
g0_lj2	none	lj	input	0	lj2	generation	none_lj
g0_lj3	none	lj	input	0	lj3	generation	none_lj
g0_lj4	none	lj	input	0	lj4	generation	none_lj
g1_l1	col0	at	native	1	1	generation	col0_at
g1_l2	col0	at	native	1	2	generation	col0_at
g1_l3	col0	at	native	1	3	generation	col0_at
g1_l4	col0	at	native	1	4	generation	col0_at
g1_l5	col0	at	native	1	5	generation	col0_at
g1_l6	col0	lj	non-native	1	6	generation	col0_lj
g1_l7	col0	lj	non-native	1	7	generation	col0_lj
g1_l8	col0	lj	non-native	1	8	generation	col0_lj
g1_l9	col0	lj	non-native	1	9	generation	col0_lj
g1_l11	gifu	at	non-native	1	11	generation	gifu_at
g1_l12	gifu	at	non-native	1	12	generation	gifu_at
g1_l13	gifu	at	non-native	1	13	generation	gifu_at
g1_l14	gifu	at	non-native	1	14	generation	gifu_at
g1_l15	gifu	at	non-native	1	15	generation	gifu_at
g1_l16	gifu	lj	native	1	16	generation	gifu_lj
g1_l17	gifu	lj	native	1	17	generation	gifu_lj
g1_l18	gifu	lj	native	1	18	generation	gifu_lj
g1_l19	gifu	lj	native	1	19	generation	gifu_lj
g1_l20	gifu	lj	native	1	20	generation	gifu_lj
g10_l1	col0	at	native	10	1	generation	col0_at
g10_l2	col0	at	native	10	2	generation	col0_at
g10_l3	col0	at	native	10	3	generation	col0_at
g10_l4	col0	at	native	10	4	generation	col0_at
g10_l5	col0	at	native	10	5	generation	col0_at
g10_l6	col0	lj	non-native	10	6	generation	col0_lj
g10_l7	col0	lj	non-native	10	7	generation	col0_lj
g10_l8	col0	lj	non-native	10	8	generation	col0_lj
g10_l9	col0	lj	non-native	10	9	generation	col0_lj
g10_l10	col0	lj	non-native	10	10	generation	col0_lj
g10_l11	gifu	at	non-native	10	11	generation	gifu_at
g10_l12	gifu	at	non-native	10	12	generation	gifu_at
g10_l13	gifu	at	non-native	10	13	generation	gifu_at
g10_l14	gifu	at	non-native	10	14	generation	gifu_at
g10_l15	gifu	at	non-native	10	15	generation	gifu_at
g10_l16	gifu	lj	native	10	16	generation	gifu_lj
g10_l17	gifu	lj	native	10	17	generation	gifu_lj
g10_l18	gifu	lj	native	10	18	generation	gifu_lj
g10_l19	gifu	lj	native	10	19	generation	gifu_lj
g10_l20	gifu	lj	native	10	20	generation	gifu_lj
g11_l1	col0	at	native	11	1	generation	col0_at
g11_l2	col0	at	native	11	2	generation	col0_at
g11_l3	col0	at	native	11	3	generation	col0_at
g11_l4	col0	at	native	11	4	generation	col0_at
g11_l5	col0	at	native	11	5	generation	col0_at
g11_l6	col0	lj	non-native	11	6	generation	col0_lj
g11_l7	col0	lj	non-native	11	7	generation	col0_lj
g11_l8	col0	lj	non-native	11	8	generation	col0_lj
g11_l9	col0	lj	non-native	11	9	generation	col0_lj
g11_l10	col0	lj	non-native	11	10	generation	col0_lj
g11_l11	gifu	at	non-native	11	11	generation	gifu_at
g11_l12	gifu	at	non-native	11	12	generation	gifu_at
g11_l13	gifu	at	non-native	11	13	generation	gifu_at
g11_l14	gifu	at	non-native	11	14	generation	gifu_at
g11_l15	gifu	at	non-native	11	15	generation	gifu_at
g11_l16	gifu	lj	native	11	16	generation	gifu_lj
g11_l17	gifu	lj	native	11	17	generation	gifu_lj
g11_l18	gifu	lj	native	11	18	generation	gifu_lj
g11_l19	gifu	lj	native	11	19	generation	gifu_lj
g11_l20	gifu	lj	native	11	20	generation	gifu_lj
g12_l1	col0	at	native	12	1	generation	col0_at
g12_l2	col0	at	native	12	2	generation	col0_at
g12_l3	col0	at	native	12	3	generation	col0_at
g12_l4	col0	at	native	12	4	generation	col0_at
g12_l5	col0	at	native	12	5	generation	col0_at
g12_l6	col0	lj	non-native	12	6	generation	col0_lj
g12_l7	col0	lj	non-native	12	7	generation	col0_lj
g12_l8	col0	lj	non-native	12	8	generation	col0_lj
g12_l9	col0	lj	non-native	12	9	generation	col0_lj
g12_l10	col0	lj	non-native	12	10	generation	col0_lj
g12_l11	gifu	at	non-native	12	11	generation	gifu_at
g12_l12	gifu	at	non-native	12	12	generation	gifu_at
g12_l13	gifu	at	non-native	12	13	generation	gifu_at
g12_l14	gifu	at	non-native	12	14	generation	gifu_at
g12_l15	gifu	at	non-native	12	15	generation	gifu_at
g12_l16	gifu	lj	native	12	16	generation	gifu_lj
g12_l17	gifu	lj	native	12	17	generation	gifu_lj
g12_l18	gifu	lj	native	12	18	generation	gifu_lj
g12_l19	gifu	lj	native	12	19	generation	gifu_lj
g12_l20	gifu	lj	native	12	20	generation	gifu_lj
g13_l1	col0	at	native	13	1	generation	col0_at
g13_l2	col0	at	native	13	2	generation	col0_at
g13_l3	col0	at	native	13	3	generation	col0_at
g13_l4	col0	at	native	13	4	generation	col0_at
g13_l5	col0	at	native	13	5	generation	col0_at
g13_l6	col0	lj	non-native	13	6	generation	col0_lj
g13_l7	col0	lj	non-native	13	7	generation	col0_lj
g13_l8	col0	lj	non-native	13	8	generation	col0_lj
g13_l9	col0	lj	non-native	13	9	generation	col0_lj
g13_l10	col0	lj	non-native	13	10	generation	col0_lj
g13_l11	gifu	at	non-native	13	11	generation	gifu_at
g13_l12	gifu	at	non-native	13	12	generation	gifu_at
g13_l13	gifu	at	non-native	13	13	generation	gifu_at
g13_l14	gifu	at	non-native	13	14	generation	gifu_at
g13_l15	gifu	at	non-native	13	15	generation	gifu_at
g13_l16	gifu	lj	native	13	16	generation	gifu_lj
g13_l17	gifu	lj	native	13	17	generation	gifu_lj
g13_l18	gifu	lj	native	13	18	generation	gifu_lj
g13_l19	gifu	lj	native	13	19	generation	gifu_lj
g13_l20	gifu	lj	native	13	20	generation	gifu_lj
g14_l1	col0	at	native	14	1	generation	col0_at
g14_l2	col0	at	native	14	2	generation	col0_at
g14_l3	col0	at	native	14	3	generation	col0_at
g14_l4	col0	at	native	14	4	generation	col0_at
g14_l5	col0	at	native	14	5	generation	col0_at
g14_l6	col0	lj	non-native	14	6	generation	col0_lj
g14_l7	col0	lj	non-native	14	7	generation	col0_lj
g14_l8	col0	lj	non-native	14	8	generation	col0_lj
g14_l9	col0	lj	non-native	14	9	generation	col0_lj
g14_l10	col0	lj	non-native	14	10	generation	col0_lj
g14_l11	gifu	at	non-native	14	11	generation	gifu_at
g14_l12	gifu	at	non-native	14	12	generation	gifu_at
g14_l13	gifu	at	non-native	14	13	generation	gifu_at
g14_l14	gifu	at	non-native	14	14	generation	gifu_at
g14_l15	gifu	at	non-native	14	15	generation	gifu_at
g14_l16	gifu	lj	native	14	16	generation	gifu_lj
g14_l17	gifu	lj	native	14	17	generation	gifu_lj
g14_l18	gifu	lj	native	14	18	generation	gifu_lj
g14_l19	gifu	lj	native	14	19	generation	gifu_lj
g14_l20	gifu	lj	native	14	20	generation	gifu_lj
g15_l1	col0	at	native	15	1	generation	col0_at
g15_l2	col0	at	native	15	2	generation	col0_at
g15_l3	col0	at	native	15	3	generation	col0_at
g15_l4	col0	at	native	15	4	generation	col0_at
g15_l5	col0	at	native	15	5	generation	col0_at
g15_l6	col0	lj	non-native	15	6	generation	col0_lj
g15_l7	col0	lj	non-native	15	7	generation	col0_lj
g15_l8	col0	lj	non-native	15	8	generation	col0_lj
g15_l6.2	col0	lj	non-native	15	6.2	generation	col0_lj
g15_l7.2	col0	lj	non-native	15	7.2	generation	col0_lj
g15_l8.2	col0	lj	non-native	15	8.2	generation	col0_lj
g15_l9	col0	lj	non-native	15	9	generation	col0_lj
g15_l10	col0	lj	non-native	15	10	generation	col0_lj
g15_l11	gifu	at	non-native	15	11	generation	gifu_at
g15_l12	gifu	at	non-native	15	12	generation	gifu_at
g15_l13	gifu	at	non-native	15	13	generation	gifu_at
g15_l14	gifu	at	non-native	15	14	generation	gifu_at
g15_l15	gifu	at	non-native	15	15	generation	gifu_at
g15_l16	gifu	lj	native	15	16	generation	gifu_lj
g15_l17	gifu	lj	native	15	17	generation	gifu_lj
g15_l18	gifu	lj	native	15	18	generation	gifu_lj
g15_l19	gifu	lj	native	15	19	generation	gifu_lj
g15_l20	gifu	lj	native	15	20	generation	gifu_lj
g16_l1	col0	at	native	16	1	generation	col0_at
g16_l2	col0	at	native	16	2	generation	col0_at
g16_l3	col0	at	native	16	3	generation	col0_at
g16_l4	col0	at	native	16	4	generation	col0_at
g16_l5	col0	at	native	16	5	generation	col0_at
g16_l7	col0	lj	non-native	16	7	generation	col0_lj
g16_l8	col0	lj	non-native	16	8	generation	col0_lj
g16_l6.2	col0	lj	non-native	16	6.2	generation	col0_lj
g16_l7.2	col0	lj	non-native	16	7.2	generation	col0_lj
g16_l8.2	col0	lj	non-native	16	8.2	generation	col0_lj
g16_l9	col0	lj	non-native	16	9	generation	col0_lj
g16_l10	col0	lj	non-native	16	10	generation	col0_lj
g16_l11	gifu	at	non-native	16	11	generation	gifu_at
g16_l12	gifu	at	non-native	16	12	generation	gifu_at
g16_l13	gifu	at	non-native	16	13	generation	gifu_at
g16_l14	gifu	at	non-native	16	14	generation	gifu_at
g16_l15	gifu	at	non-native	16	15	generation	gifu_at
g16_l16	gifu	lj	native	16	16	generation	gifu_lj
g16_l17	gifu	lj	native	16	17	generation	gifu_lj
g16_l18	gifu	lj	native	16	18	generation	gifu_lj
