strain	family	order	class	phylum	kingdom
LjNodule218	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot1	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot17	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot222	Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot24	Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
LjRoot262	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot303	Streptomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
LjRoot33	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot44	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
LjRoot46	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot5	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
LjRoot52	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
LjRoot59	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
LjRoot60	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
LjRoot72	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
LjRoot80	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
LjRoot82	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Root101	Intrasporangiaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root123D2	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root131	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
Root1310	Streptomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root142	Rhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root265	Mycobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root29	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root418	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root480	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root61	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	Bacteria
Root68	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
Root685	Hyphomicrobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root695	Phyllobacteriaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria
Root720	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
Root77	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
Root83	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
Root935	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
