sampleID	gen	sc	plant	condition	line	compartment
evo_1	0	at	input	none	input	input
evo_2	0	lj	input	none	input	input
evo_3	1	at	col0	native	1	root
evo_4	1	at	col0	native	2	root
evo_5	1	at	col0	native	3	root
evo_6	1	at	col0	native	4	root
evo_7	1	at	col0	native	5	root
evo_8	1	lj	col0	non_native	6	root
evo_9	1	lj	col0	non_native	7	root
evo_10	1	lj	col0	non_native	8	root
evo_11	1	lj	col0	non_native	9	root
evo_12	1	lj	col0	non_native	10	root
evo_13	1	at	gifu	non_native	11	root
evo_14	1	at	gifu	non_native	12	root
evo_15	1	at	gifu	non_native	13	root
evo_16	1	at	gifu	non_native	14	root
evo_17	1	at	gifu	non_native	15	root
evo_18	1	lj	gifu	native	16	root
evo_19	1	lj	gifu	native	17	root
evo_20	1	lj	gifu	native	18	root
evo_21	1	lj	gifu	native	19	root
evo_22	1	lj	gifu	native	20	root
evo_23	2	at	col0	native	4	root
evo_24	2	lj	col0	non_native	6	root
evo_25	2	lj	col0	non_native	7	root
evo_26	2	lj	col0	non_native	8	root
evo_27	2	lj	col0	non_native	9	root
evo_28	2	lj	col0	non_native	10	root
evo_29	2	at	gifu	non_native	11	root
evo_30	2	at	gifu	non_native	12	root
evo_31	2	at	gifu	non_native	13	root
evo_32	2	at	gifu	non_native	14	root
evo_33	2	at	gifu	non_native	15	root
evo_34	2	lj	gifu	native	16	root
evo_35	2	lj	gifu	native	17	root
evo_36	2	lj	gifu	native	19	root
evo_37	2	lj	gifu	native	20	root
evo_38	3	at	col0	native	1	root
evo_39	3	at	col0	native	2	root
evo_40	3	at	col0	native	3	root
evo_41	3	at	col0	native	4	root
evo_42	3	at	col0	native	5	root
evo_43	3	lj	col0	non_native	6	root
evo_44	3	lj	col0	non_native	7	root
evo_45	3	lj	col0	non_native	8	root
evo_46	3	lj	col0	non_native	9	root
evo_47	3	lj	col0	non_native	10	root
evo_48	3	at	gifu	non_native	11	root
evo_49	3	at	gifu	non_native	12	root
evo_50	3	at	gifu	non_native	13	root
evo_51	3	at	gifu	non_native	14	root
evo_52	3	at	gifu	non_native	15	root
evo_53	3	lj	gifu	native	16	root
evo_54	3	lj	gifu	native	17	root
evo_55	3	lj	gifu	native	18	root
evo_56	3	lj	gifu	native	19	root
evo_57	3	lj	gifu	native	20	root
evo_58	4	at	col0	native	1	root
evo_59	4	at	col0	native	2	root
evo_60	4	at	col0	native	3	root
evo_61	4	at	col0	native	4	root
evo_62	4	at	col0	native	5	root
evo_63	4	lj	col0	non_native	6	root
evo_64	4	lj	col0	non_native	7	root
evo_65	4	lj	col0	non_native	8	root
evo_66	4	lj	col0	non_native	9	root
evo_67	4	lj	col0	non_native	10	root
evo_68	4	at	gifu	non_native	11	root
evo_69	4	at	gifu	non_native	12	root
evo_70	4	at	gifu	non_native	13	root
evo_71	4	at	gifu	non_native	14	root
evo_72	4	at	gifu	non_native	15	root
evo_73	4	lj	gifu	native	16	root
evo_74	4	lj	gifu	native	17	root
evo_75	4	lj	gifu	native	18	root
evo_76	4	lj	gifu	native	19	root
evo_77	4	lj	gifu	native	20	root
evo_78	5	at	col0	native	1	root
evo_79	5	at	col0	native	2	root
evo_80	5	at	col0	native	3	root
evo_81	5	at	col0	native	4	root
evo_82	5	at	col0	native	5	root
evo_83	5	lj	col0	non_native	6	root
evo_84	5	lj	col0	non_native	7	root
evo_85	5	lj	col0	non_native	8	root
evo_86	5	lj	col0	non_native	9	root
evo_87	5	lj	col0	non_native	10	root
evo_88	5	at	gifu	non_native	11	root
evo_89	5	at	gifu	non_native	12	root
evo_90	5	at	gifu	non_native	13	root
evo_91	5	at	gifu	non_native	14	root
evo_92	5	at	gifu	non_native	15	root
evo_93	5	lj	gifu	native	16	root
evo_94	5	lj	gifu	native	17	root
evo_95	5	lj	gifu	native	18	root
evo_96	5	lj	gifu	native	19	root
evo_97	6	at	col0	native	1	root
evo_98	6	at	col0	native	2	root
evo_99	6	at	col0	native	3	root
evo_100	6	at	col0	native	4	root
evo_101	6	at	col0	native	5	root
evo_102	6	lj	col0	non_native	6	root
evo_103	6	lj	col0	non_native	7	root
evo_104	6	lj	col0	non_native	8	root
evo_105	6	lj	col0	non_native	9	root
evo_106	6	lj	col0	non_native	10	root
evo_107	6	at	gifu	non_native	11	root
evo_108	6	at	gifu	non_native	12	root
evo_109	6	at	gifu	non_native	13	root
evo_110	6	at	gifu	non_native	14	root
evo_111	6	at	gifu	non_native	15	root
evo_112	6	lj	gifu	native	16	root
evo_113	6	lj	gifu	native	17	root
evo_114	6	lj	gifu	native	18	root
evo_115	6	lj	gifu	native	19	root
evo_116	6	lj	gifu	native	20	root
evo_117	7	at	col0	native	1	root
evo_118	7	at	col0	native	2	root
evo_119	7	at	col0	native	3	root
evo_120	7	at	col0	native	4	root
evo_121	7	at	col0	native	5	root
evo_122	7	lj	col0	non_native	6	root
evo_123	7	lj	col0	non_native	7	root
evo_124	7	lj	col0	non_native	8	root
evo_125	7	lj	col0	non_native	9	root
evo_126	7	lj	col0	non_native	10	root
evo_127	7	at	gifu	non_native	11	root
evo_128	7	at	gifu	non_native	12	root
evo_129	7	at	gifu	non_native	13	root
evo_130	7	at	gifu	non_native	14	root
evo_131	7	at	gifu	non_native	15	root
evo_132	7	lj	gifu	native	16	root
evo_133	7	lj	gifu	native	17	root
evo_134	7	lj	gifu	native	18	root
evo_135	7	lj	gifu	native	19	root
evo_136	7	lj	gifu	native	20	root
evo_137	8	at	col0	native	1	root
evo_138	8	at	col0	native	2	root
evo_139	8	at	col0	native	3	root
evo_140	8	at	col0	native	4	root
evo_141	8	at	col0	native	5	root
evo_142	8	lj	col0	non_native	6	root
evo_143	8	lj	col0	non_native	7	root
evo_144	8	lj	col0	non_native	8	root
evo_145	8	lj	col0	non_native	9	root
evo_146	8	lj	col0	non_native	10	root
evo_147	8	at	gifu	non_native	11	root
evo_148	8	at	gifu	non_native	12	root
evo_149	8	at	gifu	non_native	13	root
evo_150	8	at	gifu	non_native	14	root
evo_151	8	at	gifu	non_native	15	root
evo_152	8	lj	gifu	native	16	root
evo_153	8	lj	gifu	native	17	root
evo_154	8	lj	gifu	native	18	root
evo_155	8	lj	gifu	native	19	root
evo_156	8	lj	gifu	native	20	root
evo_157	9	at	col0	native	1	root
evo_158	9	at	col0	native	2	root
evo_159	9	at	col0	native	3	root
evo_160	9	at	col0	native	4	root
evo_161	9	at	col0	native	5	root
evo_162	9	lj	col0	non_native	6	root
evo_163	9	lj	col0	non_native	7	root
evo_164	9	lj	col0	non_native	8	root
evo_165	9	lj	col0	non_native	9	root
evo_166	9	lj	col0	non_native	10	root
evo_167	9	at	gifu	non_native	11	root
evo_168	9	at	gifu	non_native	12	root
evo_169	9	at	gifu	non_native	13	root
evo_170	9	at	gifu	non_native	14	root
evo_171	9	at	gifu	non_native	15	root
evo_172	9	lj	gifu	native	16	root
evo_173	9	lj	gifu	native	17	root
evo_174	9	lj	gifu	native	18	root
evo_175	9	lj	gifu	native	19	root
evo_176	9	lj	gifu	native	20	root
evo_177	10	at	col0	native	1	root
evo_178	10	at	col0	native	2	root
evo_179	10	at	col0	native	3	root
evo_180	10	at	col0	native	4	root
evo_181	10	at	col0	native	5	root
evo_182	10	lj	col0	non_native	6	root
evo_183	10	lj	col0	non_native	7	root
evo_184	10	lj	col0	non_native	8	root
evo_185	10	lj	col0	non_native	9	root
evo_186	10	lj	col0	non_native	10	root
evo_187	10	at	gifu	non_native	11	root
evo_188	10	at	gifu	non_native	12	root
evo_189	10	at	gifu	non_native	13	root
evo_190	10	at	gifu	non_native	14	root
evo_191	10	at	gifu	non_native	15	root
evo_192	10	lj	gifu	native	16	root
evo_193	10	lj	gifu	native	17	root
evo_194	10	lj	gifu	native	18	root
evo_195	10	lj	gifu	native	19	root
evo_196	10	lj	gifu	native	20	root
evo_197	11	at	col0	native	1	root
evo_198	11	at	col0	native	2	root
evo_199	11	at	col0	native	3	root
evo_200	11	at	col0	native	4	root
evo_201	11	at	col0	native	5	root
evo_202	11	lj	col0	non_native	6	root
evo_203	11	lj	col0	non_native	7	root
evo_204	11	lj	col0	non_native	8	root
evo_205	11	lj	col0	non_native	9	root
evo_206	11	lj	col0	non_native	10	root
evo_207	11	at	gifu	non_native	11	root
evo_208	11	at	gifu	non_native	12	root
evo_209	11	at	gifu	non_native	13	root
evo_210	11	at	gifu	non_native	14	root
evo_211	11	at	gifu	non_native	15	root
evo_212	11	lj	gifu	native	16	root
evo_213	11	lj	gifu	native	17	root
evo_214	11	lj	gifu	native	18	root
evo_215	11	lj	gifu	native	19	root
evo_216	11	lj	gifu	native	20	root
evo_217	12	at	col0	native	1	root
evo_218	12	at	col0	native	2	root
evo_219	12	at	col0	native	3	root
evo_220	12	at	col0	native	4	root
evo_221	12	at	col0	native	5	root
evo_222	12	lj	col0	non_native	6	root
evo_223	12	lj	col0	non_native	7	root
