strain	log2(PTR)	sampleID	plant	syncom	treatment	generation	line	sample_type	condition
LjNodule218	0.07928669239173086	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot17	0.08996926760457563	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot1	0.03959970395868012	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot222	0.06968765406488103	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot262	0.010474342204732753	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot33	0.019084876578642555	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot44	0.09031991546084768	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot46	0.09343137425001302	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot52	0.09435317954195833	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot59	0.02520587557255404	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot72	0.1300031071500947	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot80	0.019728222500322003	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
LjRoot82	0.03716650511975041	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root123D2	0.08741593823705482	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root1310	0.04383017976594425	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root265	0.014130209887384095	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root29	0.10733599837359788	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root418	0.05830453919392502	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root480	0.052859480068147675	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root61	0.03037905824386545	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root685	0.1430926672408159	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root68	0.05323718015371078	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root695	0.11740033725722225	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
Root720	0.10225632549573704	g5_c1	col0	mixed	native	5	c1	competition	col0_mixed
