strain	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma
Root131	0.150712340673228	0.000773473674524673	1.06769565118587	5.0706166939425	0.659721249521023	21.7904728080574	21.7962939297676	0.038939948444992
Root68	0.491902116512124	0.00486005021923281	0.41308964931039	11.1578996053563	1.67862988681273	68.1281763313801	68.1401118516031	0.0526664556441888
Root418	0.508198007573194	0.0147256107479581	0.308690113602865	12.4598312348747	2.38450213906012	69.6197810437052	69.5152921289885	0.0373290077279305
Root935	0.530045922187315	0.047923004881548	0.218019779268097	10.6059218060704	3.17930301759893	73.4888879499866	73.4227669251256	0.0245628234474387
Root142	0.435055055017814	0.0416540692161407	0.162994084683141	13.761310281358	4.25473800833841	58.8639600362621	58.7272676134057	0.0187976508689638
Root61	0.294910503508551	0.0241122666924274	0.138115289060622	17.5375386754586	5.02595575486145	38.7860485192161	38.7630731969433	0.00498644341901957
Root101	0.398278418764507	0.0487364659450026	0.131721169726075	14.959649405006	5.26603309440066	53.2586529715641	53.2678815699999	0.0234092249916226
Root83	0.548495988299026	0.0398384264776308	0.126000279770599	20.2297962564655	5.50631501290576	70.6774016796256	70.5338798825148	0.0120669080049363
Root265	0.288920908758816	0.0387359178523867	0.103136396713064	18.1586264970326	6.74389577215148	37.5894228287426	37.4565920475828	0.0189411736117957
Root695	0.350042604604801	0.043766873548363	0.0959126802173052	20.3209466310072	7.23242484759559	44.8019086299732	44.7523495415519	0.00789856176204034
Root77	0.587233597345569	0.0590863544265665	0.0873036410942888	25.2107115110026	7.9895595072951	72.3905161371366	72.2468430144918	0.016893066393009
Root29	0.253548059728248	0.0288335971997403	0.0741948907049489	27.9529264496014	9.45655820161533	30.4297567434303	30.354078801076	0.0128573317577972
Root1310	0.423494649428101	0.0606878619486938	0.0737101407532051	25.1404621552016	9.81521356022844	51.6966902882822	51.5362362322253	0.0209329000979249
Root480	0.59865136666298	0.093388372617564	0.0584355666144416	28.9327296856389	11.8758897695923	70.5482674539007	70.3049306205893	0.0283247767321152
Root720	0.562587066966846	0.128631575194184	0.0565910150011133	21.5025031274388	12.25911952899	69.5312943566148	69.3476102805904	0.0317085277087867
Root123D2	0.138428214959539	0.0198897336308879	0.0552872163168121	32.5417744493072	12.5938918621997	15.8316161516837	15.7704863537542	0.00627054571352422
Root685	0.0689298851385517	0.0242070431041787	0.0175903615918468	35.203112584395	39.6199640069191	6.69078550424086	6.6934932553606	0.00721965305159635
LjRoot59	0.629054005710502	0.0175074037013231	0.397112553566078	8.97741100101289	1.75045109855886	88.4665031198831	88.439052410581	0.0522994307515536
LjRoot1	0.624090061529958	0.0160649302745497	0.255761738334141	14.2259120443604	2.7143031995507	84.4755951102859	84.3388362962772	0.0152359730485162
LjRoot82	0.526921839864855	0.0299654236799457	0.24725337110293	11.3620404661524	2.80349695654093	72.7601484447289	72.6671983852778	0.00948279355680096
LjRoot262	0.301858235601414	0.0149523799192433	0.196483081443388	15.1383970453117	3.53976048031095	40.5348112423373	40.5018711731952	0.00739383611913726
LjRoot17	0.705630032429813	0.040432788370076	0.167952657956057	16.8352320952446	4.16861819741628	93.4886708410101	92.9947863965491	0.0236898114667197
LjRoot60	0.624255487954262	0.0484498446763599	0.161984147345669	15.2823989896723	4.2795291699021	83.5881463906592	83.4628309339321	0.0256181802068375
LjRoot72	0.409119743678547	0.0463688484132019	0.139376304613861	18.6072190983768	6.91418063104917	52.7845363697462	52.576733637446	0.0412210525336339
LjRoot46	0.585985745868471	0.0431475796070868	0.135554815499848	18.6784852323734	5.11346748273837	76.4349916061989	76.2271347642491	0.0188681568682479
LjRoot24	0.442360913044776	0.0356327472956662	0.128171034313123	19.4211407010675	5.42345272012019	57.2691932572131	57.2989809500757	0.0412234555684494
LjRoot5	0.245058395708779	0.0323528896901648	0.120721657758496	15.6521495176245	5.76723572338475	32.5532548017163	32.4565577497589	0.01474920765802
LjRoot44	0.641583066345567	0.0479872654142359	0.120152050171151	20.9456462065135	5.77200797349496	82.1794508144387	82.1549918111436	0.0556979518742691
LjNodule218	0.324405953601548	0.0190315759390584	0.103249240805484	26.8958124748579	6.71905961827684	39.6416448091813	39.5528923069153	0.00947418184961046
LjRoot52	0.447939357431804	0.0688851785190647	0.0920333864011926	18.836239086811	7.73988166531403	57.7634870598763	57.6019789246002	0.0239150659963022
LjRoot303	0.231784661151062	0.0221006415556378	0.0908726860094486	24.8003559235106	7.63789167942022	28.687387760068	28.6347378304747	0.00666793225968739
LjRoot33	0.355155059741787	0.0702700078620466	0.0846458398650052	16.5465400166489	8.1985527711704	46.3588674856386	46.2464093284157	0.0202004683585406
LjRoot80	0.423506425906377	0.0402038042094603	0.0840802787795046	27.315752364692	8.44779983357079	51.3005175344148	51.017570426997	0.0277206000557137
LjRoot222	0.0350504225791709	0.00178380528085535	0.0713220428988805	44.3921789157695	9.88013562094302	3.67420482106587	3.69472574362228	0.00196477149495894
