line	generation	sample_type	weight	plant	syncom	condition
1	0	generation	7.7	col0	at	native
1	0	generation	11.600000000000009	col0	at	native
1	0	generation	22.299999999999997	col0	at	native
1	0	generation	25.5	col0	at	native
1	0	generation	27.8	col0	at	native
1	0	generation	28.0	col0	at	native
1	0	generation	30.0	col0	at	native
1	0	generation	40.19999999999999	col0	at	native
10	0	generation	10.3	col0	lj	non-native
10	0	generation	12.199999999999996	col0	lj	non-native
10	0	generation	24.3	col0	lj	non-native
10	0	generation	43.3	col0	lj	non-native
10	0	generation	54.400000000000006	col0	lj	non-native
10	0	generation	75.30000000000001	col0	lj	non-native
10	0	generation	93.0	col0	lj	non-native
11	0	generation	57.80000000000001	gifu	at	non-native
11	0	generation	70.30000000000001	gifu	at	non-native
11	0	generation	89.5	gifu	at	non-native
11	0	generation	102.49999999999999	gifu	at	non-native
11	0	generation	108.99999999999994	gifu	at	non-native
11	0	generation	109.2	gifu	at	non-native
12	0	generation	37.1	gifu	at	non-native
12	0	generation	81.40000000000003	gifu	at	non-native
12	0	generation	86.19999999999999	gifu	at	non-native
12	0	generation	89.30000000000001	gifu	at	non-native
12	0	generation	117.40000000000003	gifu	at	non-native
12	0	generation	134.79999999999998	gifu	at	non-native
13	0	generation	66.0	gifu	at	non-native
13	0	generation	70.5	gifu	at	non-native
13	0	generation	76.30000000000001	gifu	at	non-native
13	0	generation	81.19999999999999	gifu	at	non-native
13	0	generation	82.80000000000001	gifu	at	non-native
13	0	generation	85.30000000000001	gifu	at	non-native
14	0	generation	50.69999999999999	gifu	at	non-native
14	0	generation	80.9	gifu	at	non-native
14	0	generation	84.40000000000003	gifu	at	non-native
14	0	generation	90.0	gifu	at	non-native
14	0	generation	110.1	gifu	at	non-native
14	0	generation	123.60000000000002	gifu	at	non-native
15	0	generation	35.19999999999999	gifu	at	non-native
15	0	generation	71.69999999999999	gifu	at	non-native
15	0	generation	79.10000000000002	gifu	at	non-native
15	0	generation	86.8	gifu	at	non-native
15	0	generation	101.89999999999999	gifu	at	non-native
15	0	generation	107.30000000000001	gifu	at	non-native
16	0	generation	60.70000000000002	gifu	lj	native
16	0	generation	72.5	gifu	lj	native
16	0	generation	83.29999999999998	gifu	lj	native
16	0	generation	98.70000000000005	gifu	lj	native
16	0	generation	100.19999999999999	gifu	lj	native
16	0	generation	102.69999999999999	gifu	lj	native
17	0	generation	40.099999999999994	gifu	lj	native
17	0	generation	52.400000000000006	gifu	lj	native
17	0	generation	68.89999999999999	gifu	lj	native
17	0	generation	85.2	gifu	lj	native
17	0	generation	88.50000000000003	gifu	lj	native
17	0	generation	110.0	gifu	lj	native
18	0	generation	58.599999999999966	gifu	lj	native
18	0	generation	73.80000000000001	gifu	lj	native
