#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq	strain	sampleID	contig	plant	syncom	treatment	generation	line	sample_type	condition
Root83_contig_1	1	6242359	7461468	6239304	99.9511	177.331	39.4	40.4	Root83	g0_at	1	none	at	input	0	at	generation	none_at
Root131_contig_1	1	5452892	431518	5401000	99.0484	11.8203	39.6	41.3	Root131	g0_at	1	none	at	input	0	at	generation	none_at
Root131_contig_2	1	358064	28036	349769	97.6834	11.7012	39.6	40.9	Root131	g0_at	2	none	at	input	0	at	generation	none_at
Root131_contig_3	1	349599	171058	349532	99.9808	73.094	39.6	42.0	Root131	g0_at	3	none	at	input	0	at	generation	none_at
Root131_contig_4	1	235425	20844	235297	99.9456	13.2276	39.6	42.0	Root131	g0_at	4	none	at	input	0	at	generation	none_at
Root131_contig_5	1	127922	10274	127737	99.8554	12.0032	39.6	35.8	Root131	g0_at	5	none	at	input	0	at	generation	none_at
Root131_contig_6	1	98190	604	12920	13.1582	0.917802	39.6	1.0	Root131	g0_at	6	none	at	input	0	at	generation	none_at
Root131_contig_7	1	40652	3090	40603	99.8795	11.3576	39.6	41.9	Root131	g0_at	7	none	at	input	0	at	generation	none_at
Root131_contig_8	1	14806	22578	14806	100.0	227.77	39.6	42.0	Root131	g0_at	8	none	at	input	0	at	generation	none_at
Root123D2_contig_1	1	4592849	1948514	4591666	99.9742	63.175	39.5	41.9	Root123D2	g0_at	1	none	at	input	0	at	generation	none_at
Root123D2_contig_2	1	209642	154998	209642	100.0	110.018	39.5	42.0	Root123D2	g0_at	2	none	at	input	0	at	generation	none_at
Root77_contig_1	1	4050161	1745946	4048550	99.9602	63.9398	39.4	41.9	Root77	g0_at	1	none	at	input	0	at	generation	none_at
Root77_contig_2	1	224003	104316	224003	100.0	69.18	39.4	42.0	Root77	g0_at	2	none	at	input	0	at	generation	none_at
Root29_contig_1	1	6549547	2214138	6546332	99.9509	50.0265	39.3	41.6	Root29	g0_at	1	none	at	input	0	at	generation	none_at
Root935_contig_1	1	5125288	4256466	5119766	99.8923	124.081	39.6	41.3	Root935	g0_at	1	none	at	input	0	at	generation	none_at
Root685_contig_1	1	4404136	338206	4401101	99.9311	11.4397	39.5	41.9	Root685	g0_at	1	none	at	input	0	at	generation	none_at
Root101_contig_1	1	4394404	313068	4372799	99.5084	10.538	39.3	41.7	Root101	g0_at	1	none	at	input	0	at	generation	none_at
Root61_contig_1	1	4027981	858760	4025917	99.9488	31.6167	39.4	41.9	Root61	g0_at	1	none	at	input	0	at	generation	none_at
Root265_contig_1	1	6686035	278002	6647266	99.4201	6.17543	39.4	38.8	Root265	g0_at	1	none	at	input	0	at	generation	none_at
Root418_contig_1	1	7312949	4423500	7306707	99.9146	89.6505	39.4	41.6	Root418	g0_at	1	none	at	input	0	at	generation	none_at
Root695_contig_1	1	6390105	1423078	6385386	99.9262	33.1487	39.5	40.8	Root695	g0_at	1	none	at	input	0	at	generation	none_at
Root695_contig_2	1	198363	25072	198327	99.9819	18.8336	39.5	39.0	Root695	g0_at	2	none	at	input	0	at	generation	none_at
Root695_contig_3	1	23329	3936	23329	100.0	25.0699	39.5	41.9	Root695	g0_at	3	none	at	input	0	at	generation	none_at
Root68_contig_1	1	6297301	3545120	6293763	99.9438	83.7903	39.5	41.0	Root68	g0_at	1	none	at	input	0	at	generation	none_at
Root142_contig_1	1	3975743	517430	3972547	99.9196	19.3818	39.5	41.5	Root142	g0_at	1	none	at	input	0	at	generation	none_at
Root142_contig_2	1	1955139	243476	1954076	99.9456	18.5514	39.5	41.4	Root142	g0_at	2	none	at	input	0	at	generation	none_at
Root142_contig_3	1	1020406	125402	1019121	99.8741	18.3208	39.5	41.1	Root142	g0_at	3	none	at	input	0	at	generation	none_at
Root142_contig_4	1	866837	108438	866602	99.9729	18.6585	39.5	41.1	Root142	g0_at	4	none	at	input	0	at	generation	none_at
Root1310_contig_1	1	9313930	33084	3475193	37.3118	0.52432	39.3	41.6	Root1310	g0_at	1	none	at	input	0	at	generation	none_at
Root1310_contig_2	1	276174	1788	161042	58.3118	0.953609	39.3	40.9	Root1310	g0_at	2	none	at	input	0	at	generation	none_at
Root480_contig_1	1	3678341	3567130	3676971	99.9628	144.017	39.4	41.9	Root480	g0_at	1	none	at	input	0	at	generation	none_at
Root720_contig_1	1	5297621	3029848	5295489	99.9598	84.8385	39.4	41.8	Root720	g0_at	1	none	at	input	0	at	generation	none_at
LjRoot1_contig_1	1	6184059	1882	44481	0.719285	0.0452011	39.4	2.09	LjRoot1	g0_at	1	none	at	input	0	at	generation	none_at
LjRoot52_contig_1	1	5592429	4	495	0.00885125	0.000107288	40.0	42.0	LjRoot52	g0_at	1	none	at	input	0	at	generation	none_at
LjRoot17_contig_1	1	3400871	2	300	0.00882127	0.0000882127	39.5	42.0	LjRoot17	g0_at	1	none	at	input	0	at	generation	none_at
LjRoot72_contig_1	1	5051517	28	3594	0.0711469	0.000776598	39.2	39.0	LjRoot72	g0_at	1	none	at	input	0	at	generation	none_at
LjRoot82_contig_1	1	5009941	498	15296	0.305313	0.0146718	39.5	1.55	LjRoot82	g0_at	1	none	at	input	0	at	generation	none_at
LjRoot222_contig_1	1	4720695	18	2505	0.0530642	0.00057195	39.4	42.0	LjRoot222	g0_at	1	none	at	input	0	at	generation	none_at
LjRoot24_contig_1	1	3631992	6	488	0.0134362	0.000247798	39.7	14.7	LjRoot24	g0_at	1	none	at	input	0	at	generation	none_at
LjRoot44_contig_1	1	3803502	30	2829	0.0743788	0.00118286	39.9	20.1	LjRoot44	g0_at	1	none	at	input	0	at	generation	none_at
LjRoot80_contig_1	1	6024117	66	6009	0.0997491	0.00162065	39.3	5.52	LjRoot80	g0_at	1	none	at	input	0	at	generation	none_at
LjRoot33_contig_1	1	5239285	34	3432	0.0655051	0.000940205	39.5	15.5	LjRoot33	g0_at	1	none	at	input	0	at	generation	none_at
LjNodule218_contig_1	1	6816670	100	9172	0.134553	0.00216073	39.5	12.1	LjNodule218	g0_at	1	none	at	input	0	at	generation	none_at
LjNodule218_contig_2	1	651417	30	1678	0.257592	0.00690802	39.7	6.47	LjNodule218	g0_at	2	none	at	input	0	at	generation	none_at
LjRoot59_contig_1	1	6711861	1096	27624	0.41157	0.0240017	39.5	1.64	LjRoot59	g0_at	1	none	at	input	0	at	generation	none_at
LjRoot46_contig_1	1	4406614	22	2793	0.063382	0.000745924	39.5	27.0	LjRoot46	g0_at	1	none	at	input	0	at	generation	none_at
LjRoot46_contig_2	1	1386995	10	1339	0.0965396	0.00108075	39.9	42.0	LjRoot46	g0_at	2	none	at	input	0	at	generation	none_at
LjRoot46_contig_3	1	280132	2	219	0.0781774	0.00107092	37.7	42.0	LjRoot46	g0_at	3	none	at	input	0	at	generation	none_at
LjRoot303_contig_1	1	8514157	16	2061	0.0242067	0.000281883	39.5	26.6	LjRoot303	g0_at	1	none	at	input	0	at	generation	none_at
LjRoot60_contig_1	1	3971937	22	3085	0.0776699	0.000811946	39.2	38.4	LjRoot60	g0_at	1	none	at	input	0	at	generation	none_at
LjRoot262_contig_1	1	4527900	6	847	0.0187062	0.000198768	39.6	42.0	LjRoot262	g0_at	1	none	at	input	0	at	generation	none_at
LjRoot5_contig_1	1	4452308	0	0	0.0	0.0	0.0	0.0	LjRoot5	g0_at	1	none	at	input	0	at	generation	none_at
LjRoot24_contig_2	1	64919	0	0	0.0	0.0	0.0	0.0	LjRoot24	g0_at	2	none	at	input	0	at	generation	none_at
LjRoot44_contig_2	1	31311	0	0	0.0	0.0	0.0	0.0	LjRoot44	g0_at	2	none	at	input	0	at	generation	none_at
LjRoot80_contig_2	1	315699	0	0	0.0	0.0	0.0	0.0	LjRoot80	g0_at	2	none	at	input	0	at	generation	none_at
LjNodule218_contig_3	1	296196	0	0	0.0	0.0	0.0	0.0	LjNodule218	g0_at	3	none	at	input	0	at	generation	none_at
LjRoot46_contig_4	1	137921	0	0	0.0	0.0	0.0	0.0	LjRoot46	g0_at	4	none	at	input	0	at	generation	none_at
LjRoot46_contig_5	1	90004	0	0	0.0	0.0	0.0	0.0	LjRoot46	g0_at	5	none	at	input	0	at	generation	none_at
LjRoot60_contig_2	1	167542	0	0	0.0	0.0	0.0	0.0	LjRoot60	g0_at	2	none	at	input	0	at	generation	none_at
Root83_contig_1	1	6242359	7301970	6239572	99.9554	173.555	39.4	40.3	Root83	g0_at1	1	none	at	input	0	at1	generation	none_at
Root131_contig_1	1	5452892	458794	5401760	99.0623	12.5663	39.6	41.3	Root131	g0_at1	1	none	at	input	0	at1	generation	none_at
Root131_contig_2	1	358064	29856	349988	97.7445	12.4577	39.6	40.8	Root131	g0_at1	2	none	at	input	0	at1	generation	none_at
Root131_contig_3	1	349599	183866	349498	99.9711	78.5755	39.6	42.0	Root131	g0_at1	3	none	at	input	0	at1	generation	none_at
Root131_contig_4	1	235425	21634	235342	99.9647	13.738	39.6	42.0	Root131	g0_at1	4	none	at	input	0	at1	generation	none_at
Root131_contig_5	1	127922	10838	127921	99.9992	12.6547	39.6	35.4	Root131	g0_at1	5	none	at	input	0	at1	generation	none_at
Root131_contig_6	1	98190	560	12663	12.8964	0.853621	39.6	1.0	Root131	g0_at1	6	none	at	input	0	at1	generation	none_at
Root131_contig_7	1	40652	3172	40608	99.8918	11.681	39.6	41.9	Root131	g0_at1	7	none	at	input	0	at1	generation	none_at
Root131_contig_8	1	14806	23924	14805	99.9932	241.482	39.6	42.0	Root131	g0_at1	8	none	at	input	0	at1	generation	none_at
Root123D2_contig_1	1	4592849	1945592	4591744	99.9759	63.0857	39.5	41.9	Root123D2	g0_at1	1	none	at	input	0	at1	generation	none_at
Root123D2_contig_2	1	209642	154670	209642	100.0	109.803	39.5	42.0	Root123D2	g0_at1	2	none	at	input	0	at1	generation	none_at
Root77_contig_1	1	4050161	1692924	4048546	99.9601	61.995	39.4	41.8	Root77	g0_at1	1	none	at	input	0	at1	generation	none_at
